stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,zone_id
1,SCHINOASA 2,46.985033,28.778205,1,1
2,Gara Auto Sud-Vest,46.991779,28.78964,1,1
3,Str. Sihastrului,46.99567,28.800615,1,1
4,Str. Miorița,46.997104,28.808986,1,1
5,Campusul Academic,46.993788,28.815014,1,1
6,Colegiul Industrial si de Construcții,46.993107,28.820113,1,1
7,Str. Vl.Korolenko,46.997998,28.820331,1,1
8,Str. Gh.Asachi,47.001206,28.82208,1,1
9,Str. Gh.Tudor,47.003668,28.824704,1,1
10,Piața Pan Halipa,47.007441,28.828153,1,1
11,Complexul Memorial "Eternitate",47.008371,28.832829,1,1
12,Str. A.Mateevici,47.009372,28.836258,1,1
13,Str. Bucureşti,47.01231,28.840659,1,1
14,Bd. Ştefan cel Mare şi Sfînt,47.016904,28.847743,1,1
15,Magazinul Universal Central,47.015384,28.846097,1,1
16,Str. Tighina,47.01758,28.842873,1,1
17,Str. Armenească,47.020417,28.838861,1,1
18,Piata Marii Adunări Nationale,47.023131,28.834729,1,1
19,Teatrul de Operă si Balet,47.026732,28.829361,1,1
20,Universitatea Tehnică a Moldovei,47.031142,28.822751,1,1
21,Universitatea de Medicină,47.034314,28.818001,1,1
22,Calea Ieșilor,47.038195,28.809945,1,1
23,Asociația "Zorile",47.03901,28.803407,1,1
24,Str. Bariera Sculeni,47.04293,28.793862,1,1
25,Parcul "La Izvor",47.044533,28.788416,1,1
26,Str. Ghidighici,47.046114,28.783034,1,1
27,Restaurantul "Butoias",47.046864,28.780612,1,1
28,Str. Ghidighici,47.04544,28.785108,1,1
29,Parcul "La Izvor",47.044339,28.788877,1,1
30,Parcul "Alunelul",47.038135,28.805227,1,1
31,Piaţa D. Cantemir,47.038028,28.810048,1,1
32,Universitatea de Medicină,47.033451,28.819146,1,1
33,Str. Toma Ciorbă,47.031553,28.822028,1,1
34,Str. S. Lazo,47.028844,28.826045,1,1
35,Cinematograful "Patria",47.026331,28.829809,1,1
36,Teatrul "M. Eminescu",47.022266,28.83583,1,1
37,Str. Armenească,47.019782,28.839559,1,1
38,Magazinul Universal Central,47.016423,28.844595,1,1
39,Bd. C. Negruzzi,47.013612,28.850209,1,1
40,Str. Columna,47.027401,28.83377,1,1
41,Grădina Publică "Ştefan cel Mare şi Sfînt",47.024438,28.829053,1,1
42,Str. Bucureşti,47.022257,28.826021,1,1
43,Universitatea de Stat,47.01839,28.823191,1,1
44,Str. Anton Crihan,47.012993,28.827952,1,1
45,Piaţa Pan Halippa,47.008442,28.82729,1,1
46,Magazin "Fidesco",47.006416,28.824933,1,1
47,Str. Gh. Tudor,47.005041,28.821406,1,1
48,Str. V. Dokuceaev,47.002923,28.816822,1,1
49,Telecentru,46.999046,28.808846,1,1
50,Str. Pietrarilor,46.998291,28.806631,1,1
51,Str. Sihastrului,46.996372,28.801492,1,1
52,Str. Grenoble,46.991314,28.821264,1,1
53,Policlinica Oncologică,46.989376,28.826675,1,1
54,Spitalul Pentru Copii Nr.3,46.985773,28.831917,1,1
55,Str. Costiujeni,46.981269,28.839516,1,1
56,Bd. Traian,46.978606,28.846675,1,1
57,Str. Independenţei,46.982139,28.851525,1,1
58,Bd. Dacia,46.984316,28.854869,1,1
59,Bd. Decebal,46.98759,28.857643,1,1
60,Str. N. Zelinski,46.993747,28.859012,1,1
61,Str. N. Titulescu,47.000795,28.860191,1,1
62,Centrul "Hidrotehnica",47.007524,28.859991,1,1
63,Gara,47.011037,28.858577,1,1
64,Hotelul "Cosmos",47.013719,28.853968,1,1
65,Universitatea Pedagogică,47.037095,28.811868,1,1
66,Str. Șt. Neaga,47.032509,28.805493,1,1
67,Cinematograful "Flacăra",47.028205,28.79626,1,1
68,Piața Unirii Principatelor,47.027935,28.791078,1,1
69,Str. I. Pelivan,47.029527,28.787767,1,1
70,Str. Paris,47.032619,28.781634,1,1
71,Str. O. Ghirbu,47.03568,28.775374,1,1
72,Str. L. Deleanu,47.039325,28.767988,1,1
73,ȘOS. Balcani,47.041679,28.763383,1,1
74,ȘOS. Balcani,47.040954,28.764138,1,1
75,Str. L. Deleanu,47.03818,28.770074,1,1
76,Str. O. Ghirbu,47.035085,28.776392,1,1
77,Str. Paris,47.031994,28.78265,1,1
78,Piața Unirii Principatelor,47.028824,28.789009,1,1
79,Cinematograful "Flacăra",47.028205,28.796323,1,1
80,Str. Șt. Neaga,47.03238,28.805351,1,1
81,Universitatea Pedagogică,47.037176,28.812163,1,1
82,Piața Pan Halippa,47.00893,28.827852,1,1
83,Str. M. Eminescu,47.015174,28.826832,1,1
84,Str. M. Kogălniceanu,47.019047,28.827458,1,1
85,Casa Presei,47.021326,28.830653,1,1
86,Bd. Ştefan cel Mare şi Sfînt,47.024761,28.83525,1,1
87,Str. Constituției,47.025636,28.792881,1,1
88,Str. V. Lupu,47.02352,28.790952,1,1
89,Policlinica Veterinară Republicană,47.024995,28.782118,1,1
90,Uzina Experimentală,47.025585,28.779325,1,1
91,Uzina "ASCHIM S.A",47.026734,28.773729,1,1
92,Uzina "ASCHIM S.A",47.026762,28.773721,1,1
93,Uzina Experimentală,47.025768,28.777888,1,1
94,Policlinica Veterinară Republicană,47.024793,28.782456,1,1
95,Str. V. Lupu,47.023475,28.789957,1,1
96,Str. Constituției,47.024445,28.792634,1,1
97,Bd. Decebal,46.987121,28.856229,1,1
98,Str. Teilor,46.989553,28.852782,1,1
99,Str. N. Zelinski,46.992433,28.848753,1,1
100,Spitalul Municipal Nr.1,47.004755,28.841995,1,1
101,Str. Ciuflea,47.012514,28.845983,1,1
102,Bd. Grigore Vieru,47.028815,28.838844,1,1
103,Str. Romană,47.032616,28.844409,1,1
104,Circul,47.035999,28.849198,1,1
105,Str. Kiev,47.040235,28.859826,1,1
106,Bd. Moscova,47.045693,28.862015,1,1
107,Str. M. Costin,47.050143,28.863711,1,1
108,Str. M. Basarab,47.055535,28.865781,1,1
109,Str. Studenților,47.058623,28.86757,1,1
110,Str. M. Basarab,47.054822,28.86519,1,1
111,Str. M. Costin,47.049101,28.863066,1,1
112,Str. Bogdan Voievod,47.043166,28.860798,1,1
113,Str. Kiev,47.03974,28.859413,1,1
114,Circul,47.036547,28.849823,1,1
115,Str. Romană,47.032012,28.842953,1,1
116,str. Cosmonauților,47.029498,28.839109,1,1
117,Universitatea de Medicină,47.034138,28.819133,1,1
118,Str. Columna,47.036291,28.82255,1,1
